;price_24h;volume_24h;last_trade_price;symbol1;symbol2
0;0.05244;0.0;0.05244;TFUEL;USDC
1;0.10308;0.0;0.1029;XLM;EUR
2;1.488e-05;0.0;1.488e-05;ALGO;BTC
3;0.137;0.0;0.137;EFI;USDT
4;0.96;0.0;0.95;XTZ;USDT
5;0.0;0.0;5.51e-06;XLM;BTC
6;0.8882;0.0;0.8882;USDC;GBP
7;0.2322;0.0;0.2322;OGN;USDT
8;26.28;0.55919174;26.28;CLOUT;USD
9;0.331;0.0;0.324;STX;USDC
10;0.2;0.0;0.19;CEUR;USDT
11;0.0;0.0;0.0;EOS;USD
12;1.0004;0.0;1.0004;PAX;USD
13;473.4;2.22685739;482.26;BCH;USD
14;2.9;0.0;2.9;DAI;EUR
15;0.81;0.0;0.81;USDT;GBP
16;0.4036;1.494;0.4036;CRV;USDT
17;13.311;3.49064237;13.311;LINK;USDT
18;0.1026;13.19422864;0.1017;CHZ;USD
19;1.0;0.0;1.0;APE;USD
20;1.7;99.95;1.7;STX;USD
21;0.997;0.0;0.997;MATIC;USDT
22;174.52;0.0;174.52;WDGLD;USD
23;3066.99;2.22943811;3060.72;ETH;USD
24;3.77;0.0;3.77;SNX;USD
25;0.0;0.0;0.4909;LEND;USD
26;0.0;0.0;0.06981;XLM;PAX
27;0.0;0.0;0.22;XRP;EUR
28;0.09109;0.0;0.09109;XLM;USD
29;0.30129;0.0;0.30144;BAT;USDC
30;7.033;0.0;7.055;LINK;USDC
31;0.009727;0.0;0.009534;DGLD;BTC
32;495.0;0.53982448;495.0;BCH;EUR
33;0.006;0.0;0.006;BCH;BTC
34;0.000302;0.0;0.000302;CLOUT;BTC
35;62239.73;0.79210321;63001.11;BTC;USD
36;0.0;0.0;0.582678;BCH;ETH
37;23950.9;0.0;23950.9;ETH;TRY
38;0.00013;0.0;0.00013;WLUNA;USD
39;2.0237;12.35649856;2.0237;THETA;USD
40;0.011;0.0;0.011;GALA;USD
41;490.0;0.0;490.0;CUSD;USDT
42;390682.0;0.0;390682.0;BTC;TRY
43;0.176;146.864284;0.1774;ALGO;USD
44;2856.92;2.78054229;2999.99;ETH;EUR
45;0.15186;208.5743231;0.15846;DOGE;USD
46;0.11561;0.0;0.11561;GRT;USD
47;1.88;91.5;1.49;STX;USDT
48;0.0;0.0;0.29;XRP;USD
49;0.0;0.0;0.00019195;XLM;ETH
50;0.0;0.0;0.0;USD;GBP
51;6903.0;0.0010053;6903.0;YFI;USD
52;0.0;0.0;6115.0;BTC;PAX
53;3.3229;0.0;3.3229;UMA;USDC
54;18996.89;0.0;19154.51;WBTC;USDC
55;1013.83;0.0;1013.18;MKR;USDT
56;5.5884;0.0;5.5884;NEAR;USD
57;0.9327;0.0;0.9327;CRV;USDC
58;0.10535;0.0;0.10096;TRX;USD
59;13.986;2.0;13.986;UNI;USDT
60;5.96;0.86615993;5.96;DOT;EUR
61;0.031;0.0;0.031;BAT;USDT
62;0.0;0.0;339.24;BCH;PAX
63;0.9996;0.0;0.9996;DAI;USDC
64;11.6;0.0;11.347;UNI;USD
65;0.06478;0.0;0.06478;TFUEL;USDT
66;138.715;5.75500626;142.645;SOL;USDT
67;0.04968;0.04369642;0.04689;ETH;BTC
68;0.007;0.0;0.007;WDGLD;BTC
69;0.55;0.0;0.55;CELO;USDT
70;1.017;0.0;1.0169;USDC;EUR
71;1.59;0.0;1.59;XTZ;USDC
72;65414.55;0.0;64788.57;WBTC;USDT
73;1032.03;0.0;1032.03;MKR;USDC
74;13.874;0.38229675;14.1;LINK;USD
75;80.3;1.43215988;80.26;LTC;USD
76;0.13404;491.56265;0.13404;DOGE;USDT
77;0.10872;0.0;0.10877;GRT;USDC
78;0.411;2.984;0.4071;CRV;USD
79;50.68;0.11998496;55.37;COMP;USD
80;0.99;0.0;0.99;CEUR;EUR
81;1.2442;1063.6825;12.19;GBP;USD
82;0.0;0.0;0.005827;LTC;BTC
83;0.148;0.0;0.148;EFI;USD
84;0.0;0.0;0.0;EOS;USDT
85;0.999;0.0;0.999;DAI;USDT
86;32.136;0.0;32.133;SOL;USDC
87;49208.15;0.17627404;53324.81;BTC;GBP
88;1.0005;0.0;1.0005;USDC;USD
89;2984.38;0.00084723;2887.66;MKR;USD
90;3.7085;0.0;3.7085;SNX;USDT
91;0.0;0.0;0.0;LTC;TRY
92;4.1661;0.0;4.1661;UMA;USDT
93;63887.85;0.00049216;64505.11;WBTC;USD
94;3.803;0.0;3.803;UMA;USD
95;5.215;0.0;5.215;UNI;USDC
96;0.77;0.0;0.77;CELO;USD
97;1.0949;0.0;1.0931;THETA;USDC
98;74.12;29.20352075;76.01;LTC;EUR
99;2.3583;0.0;2.3595;SNX;USDC
100;0.9901;0.0;0.99;WDGLD;DGLD
101;1.9192;2.14838087;1.8392;THETA;USDT
102;0.09659;0.0;0.09659;GRT;USDT
103;6.37;74.83641527;6.7;DOT;USD
104;1.0634;2440.0227;1.0657;EUR;USD
105;0.9;0.0;0.9;XTZ;USD
106;8.29;0.0;8.29;USDT;TRY
107;0.21162;0.0;0.21162;RARE;USDT
108;56.4;0.0;56.4;COMP;USDT
109;1.0005;267.6915;1.0005;USDT;USD
110;0.0;0.0;0.4854;LEND;USDT
111;0.85;0.0;0.84;CELO;USDC
112;0.0;0.0;0.0;USD;EUR
113;2492.74;0.54754706;2498.63;ETH;GBP
114;0.22;0.0;0.22;OGN;USD
115;0.3452;0.0;0.3452;ZRX;USDC
116;0.05842;0.0;0.05842;TFUEL;USD
117;0.5296;330.61561946;0.47;ADA;USD
118;0.24657;182.18990987;0.24895;BAT;USD
119;0.4299;4.72625424;0.4258;ADA;USDT
120;120.89;0.0;120.89;AAVE;USDT
121;5.962;0.0;5.982;APE;USDC
122;1.0003;0.0;1.0003;USDC;USDT
123;0.0;0.0;219.41;ETH;PAX
124;0.0;0.0;358.46;BCH;USDT
125;0.34513;0.0;0.34513;ZRX;USDT
126;0.22;0.0;0.22;CUSD;USD
127;0.0;0.0;0.3614;ALGO;USDT
128;0.995;0.0;0.995;SUSHI;USDC
129;0.4435;0.0;0.4435;ENJ;USD
130;0.0;0.0;73.28;LTC;USDT
131;0.7664;0.0;0.7664;DAI;GBP
132;0.136;0.0;0.136;EFI;USDC
133;57687.0;0.30415994;59770.7;BTC;EUR
134;0.9397;1008.2785;0.9401;USDT;EUR
135;163.1;0.0;163.1;DGLD;USD
136;0.0;0.0;0.0;EOS;USDC
137;8477.0;0.0;8241.02;YFI;USDT
138;0.01;0.0;0.01;WLUNA;USDT
139;0.30455;0.0;0.30455;RARE;USD
140;1.477;0.0;1.477;SUSHI;USDT
141;0.21139;0.0;0.21139;RARE;USDC
142;48.89;0.0;48.42;COMP;USDC
143;0.171;0.0;0.1701;ENJ;USDT
144;1.0024;0.0;1.0024;CUSD;USDC
145;0.0;0.0;74.03;LTC;PAX
146;0.752;0.0;0.752;MATIC;USDC
147;0.0;0.0;0.9444;PAX;EUR
148;0.0;0.0;0.0;NEAR;EUR
149;85.01;0.0;85.01;AAVE;USD
150;61242.0;0.10809173;63954.12;BTC;USDT
151;5.1;0.27411204;5.1;DOT;GBP
152;0.001;0.0;0.001;WLUNA;USDC
153;133.477;562.04686146;141.9;SOL;USD
154;1.771;0.0;1.771;APE;USDT
155;2937.33;3.21597838;3102.05;ETH;USDT
156;0.35948;0.0;0.35948;ZRX;USD
157;0.4406;0.0;0.439;ADA;USDC
158;0.701;101.03174603;0.7;MATIC;USD
159;1.377;0.0;1.377;SUSHI;USD
160;0.0;0.0;0.0;NEAR;USDT
161;0.9991;0.0;0.9991;DAI;USD
